POINT_ID,PTotal,Country,LONG,LAT,geom_X,geom_Y
26521974,126.21,Portugal,-9.36144,38.92962,2652001.148,1973999.191
26561964,367.16,Portugal,-9.2905,38.85139,2655999.655,1964000.9
26581768,1419.24,Portugal,-8.77525,37.13911,2658000.297,1768000.582
26581792,245.45,Portugal,-8.83372,37.34975,2658000.758,1792000.191
26581954,349.92,Portugal,-9.2421,38.76854,2657999.535,1954001.132
26601784,188.04,Portugal,-8.79225,37.28397,2660000.417,1783999.674
26601978,345.26,Portugal,-9.28225,38.98283,2660000.074,1978000.271
26621974,148.17,Portugal,-9.24936,38.95245,2662001.276,1974002.371
26701780,295.08,Portugal,-8.6729,37.2709,2670000.459,1779999.076
26702014,352.95,Portugal,-9.2644,39.32008,2670000.151,2013999.891
26741814,215.08,Portugal,-8.7117,37.57817,2674000.956,1814000.895
26741964,399.28,Portugal,-9.08885,38.89219,2674003.193,1964000.702
26741986,361.47,Portugal,-9.14597,39.08452,2674000.328,1985999.94
26761768,1099.98,Portugal,-8.57821,37.17865,2675999.995,1767998.145
26761786,363.3,Portugal,-8.62161,37.33677,2676000.431,1786000.535
26761804,291.09,Portugal,-8.6653,37.4948,2675999.764,1804000.352
26761864,11.38,Portugal,-8.81298,38.0211,2676000.703,1863999.205
26761998,29.33,Portugal,-9.1548,39.19392,2676000.249,1997999.509
26762002,341.57,Portugal,-9.16528,39.22889,2675999.443,2002001.522
26781816,95.34,Portugal,-8.67254,37.60452,2678000.926,1815999.947
26802028,296.55,Portugal,-9.1885,39.46509,2679999.339,2028000.187
26821846,613.65,Portugal,-8.70201,37.87653,2682000.7,1845998.927
26821876,241.47,Portugal,-8.77637,38.13959,2681999.311,1876000.221
26841758,232.95,Portugal,-8.46671,37.10823,2683998.526,1758000.159
26841764,92.88,Portugal,-8.48103,37.16097,2683998.852,1764000.759
26841826,1209.15,Portugal,-8.63085,37.70546,2683999.883,1825999.66
26841836,224.52,Portugal,-8.65533,37.79322,2684000.511,1836000.602
26841944,892.92,Portugal,-8.92555,38.73965,2684000.619,1944000.11
26842028,272.93,Portugal,-9.1433,39.47415,2683999.525,2027999.38
26881938,974.03,Portugal,-8.86556,38.69605,2687998.648,1938000.4
26881988,727.04,Portugal,-8.99378,39.13356,2687999.883,1988000.569
26921850,414.1,Portugal,-8.60125,37.93362,2691999.978,1850000.625
26921874,314.9,Portugal,-8.66043,38.14413,2691999.902,1873999.929
26921896,619.89,Portugal,-8.71514,38.33701,2691999.911,1896000.733
26941804,533.31,Portugal,-8.46725,37.53417,2693999.559,1804001.386
26941810,418.22,Portugal,-8.48174,37.58685,2693998.766,1809999.484
26941984,207.39,Portugal,-8.91597,39.11202,2693999.627,1984001.239
26942016,144.88,Portugal,-8.99891,39.39186,2693999.677,2016001.758
26961834,320.17,Portugal,-8.5179,37.80194,2695999.228,1833999.378
26961978,269.31,Portugal,-8.87806,39.06399,2695998.714,1978001.165
26961996,52.16,Portugal,-8.92442,39.22145,2696000.178,1996000.083
26962018,139.81,Portugal,-8.98154,39.41382,2695999.186,2018000.145
27001846,1156.3,Portugal,-8.50292,37.91602,2700000.524,1846001.137
27001864,393.13,Portugal,-8.547,38.07397,2700000.613,1864000.012
27001882,459.38,Portugal,-8.59138,38.23186,2700000.067,1881999.494
27001894,182.92,Portugal,-8.62112,38.3371,2700000.914,1894000.613
27001936,265.43,Portugal,-8.72628,38.70517,2700000.206,1936000.163
27002038,266.75,Portugal,-8.98857,39.59762,2699999.271,2038000.454
27021938,52.6,Portugal,-8.70896,38.7271,2701999.117,1937999.279
27022016,313.6,Portugal,-8.90855,39.40978,2702000.587,2016000.168
27041840,382.57,Portugal,-8.44405,37.87206,2704000.568,1840001.16
27041876,128.83,Portugal,-8.53214,38.188,2703999.252,1876000.869
27061758,247.35,Portugal,-8.22578,37.15574,2706000.809,1758000.353
27061888,304.4,Portugal,-8.53949,38.29763,2706000.669,1887999.836
27061970,404.23,Portugal,-8.7452,39.01619,2706000.452,1969999.498
27062032,30.69,Portugal,-8.90495,39.55862,2705999.435,2032000.072
27081828,439.11,Portugal,-8.37076,37.77536,2708000.714,1828001.217
27082062,299.27,Portugal,-8.96084509,39.82530594,2707999.999,2061999.997
27101760,593.07,Portugal,-8.18663,37.1819,2710002.699,1759999.161
27101814,281.03,Portugal,-8.31499,37.65668,2709999.629,1814000.235
27101892,235.25,Portugal,-8.50486,38.34145,2709999.923,1891999.182
27101940,173.92,Portugal,-8.62444,38.76226,2709999.779,1939999.283
27101964,314.24,Portugal,-8.68504,38.97253,2709999.647,1964003.263
27102048,30.7,Portugal,-8.901391332,39.70743758,2709999.999,2047999.997
27121756,441.27,Portugal,-8.15536,37.15099,2711998.5,1756000.727
27121954,439.86,Portugal,-8.63728,38.88932,2712000.168,1953999.487
27121990,528.45,Portugal,-8.72873,39.20456,2712001.157,1989999.609
27122016,268.18,Portugal,-8.79557,39.43207,2711999.405,2015999.678
27141834,119.63,Portugal,-8.31892,37.84102,2714000.246,1833999.384
27141924,322.76,Portugal,-8.53964,38.63081,2713999.562,1923999.649
27161812,487.25,Portugal,-8.24399,37.65203,2716001.58,1812000.018
27161938,156.57,Portugal,-8.55222,38.75792,2716001.415,1938000.456
27161956,85.48,Portugal,-8.59745,38.91565,2715999.803,1956000.774
27162028,528.53,Portugal,-8.78133,39.54594,2716001.069,2028000.366
27181846,914.65,Portugal,-8.30363,37.95506,2717999.783,1845999.503
27181912,267.29,Portugal,-8.46513,38.53434,2718000.217,1912001.034
27181972,311.91,Portugal,-8.61539,39.06021,2718000.832,1972001.091
27182008,3.16,Portugal,-8.70716,39.37538,2718001.13,2007999.399
27201772,387.21,Portugal,-8.10517,37.30883,2719999.25,1771999.003
27201962,96.23,Portugal,-8.56765,38.97701,2720000.722,1962001.696
27201980,424.4,Portugal,-8.61315,39.13466,2720001.609,1979999.079
27202006,398.8,Portugal,-8.67945,39.36231,2720000.787,2006000.925
27202042,541.38,Portugal,-8.7723,39.67727,2720000.341,2041999.827
27221750,199.91,Portugal,-8.03175,37.11948,2721999.721,1750000.253
27221804,224.07,Portugal,-8.15877,37.59457,2722000.407,1804000.225
27221822,536.49,Portugal,-8.20168,37.75281,2721999.641,1822000.807
27221858,128.82,Portugal,-8.28834,38.0691,2721999.031,1858001.679
27241758,408.89,Portugal,-8.02849,37.19415,2723998.87,1758000.806
27241816,231.72,Portugal,-8.16526,37.70436,2724000.287,1816001.128
27241888,783.07,Portugal,-8.33913,38.33681,2724001.263,1888001.348
27241916,284.78,Portugal,-8.40802,38.58248,2723999.442,1916000.76
27241924,463.53,Portugal,-8.42782,38.65264,2724000.007,1923999.928
27241992,1220.84,Portugal,-8.59858,39.24853,2723999.522,1991997.774
27242050,677.58,Portugal,-8.747681036,39.75611732,2723999.999,2049999.997
27242068,308.75,Portugal,-8.794615335,39.91350524,2723999.999,2067999.997
27242086,65.09,Portugal,-8.84186793,40.07083022,2723999.999,2085999.997
27261954,37.65,Portugal,-8.48017,38.92001,2725999.987,1953998.568
27262026,415.17,Portugal,-8.662942092,39.55058797,2725999.999,2025999.997
27281742,489.57,Portugal,-7.94743,37.06174,2728002.12,1741999.077
27281760,231.71,Portugal,-7.98927,37.22024,2727999.494,1760001.061
27281838,495.55,Portugal,-8.17361,37.9063,2728001.078,1838001.406
27281850,297.65,Portugal,-8.20246,38.01173,2727999.189,1850000.52
27281904,336.61,Portugal,-8.33376,38.48587,2728001.046,1903999.751
27281940,92.87,Portugal,-8.42278,38.80166,2728000.435,1940000.896
27282018,169.41,Portugal,-8.61977,39.48499,2727999.419,2018000.934
27282072,238.25,Portugal,-8.759527192,39.95736897,2727999.999,2071999.997
27282102,108.28,Portugal,-8.83839,40.21956,2728001.463,2101999.454
27301936,231.45,Portugal,-8.39042,38.77092,2730000.4,1935999.426
27301972,219.81,Portugal,-8.4804,39.08651,2729999.921,1972000.409
