,Notes,SURV_DATE,OBS_RADIUS,LC1_SPECIE,LC2_SPECIE,AREA_SIZE,LAND_MNGT,SOIL_CROP,nuts3,Transect,CLIMANR,WRB_COD,AnnualPrec,WRB_LV1,ParMat1,ParMat2,slope (Degrees)
0,,09JUL2009:00:00:00,2.0,,,3.0,2.0,4.0,PT171,D10;21;C10;D10;21;D10;24;61;2;61;2;B82;D10;X,5.3,CM,728.000000522286,Cambisol,consolidated-clastic-sedimentary rocks,psammite or arenite,3.43363046646118
1,,08JUL2009:00:00:00,1.0,,,3.0,2.0,4.0,PT171,B16;F00;1;31;1;F00;B16,5.3,CM,728.000000522286,Cambisol,consolidated-clastic-sedimentary rocks,psammite or arenite,7.73519086837769
2,,07JUN2009:00:00:00,2.0,,,3.0,2.0,3.0,PT150,E30;D10;61;A;1,5.7,LV,446.290001995116,Luvisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,0.0
3,,17JUN2009:00:00:00,2.0,,,3.0,2.0,2.0,PT150,D20;PI(;D10;61;)PI;D10;E30;D20;61,5.3,PZ,473.660000106692,Podzol,metamorphic rocks,acid regional metamorphic rocks,9.64804553985596
4,,07JUL2009:00:00:00,1.0,,,1.0,2.0,1.0,PT171,B41;E30;11;62;11;E30;A,5.3,VR,665.170001888275,Vertisol,igneous rocks,basic plutonic rocks,4.29863834381104
5,,18JUN2009:00:00:00,2.0,,,3.0,2.0,3.0,PT150,D10;61;C10;C30,5.3,LV,473.660000106692,Luvisol,metamorphic rocks,acid regional metamorphic rocks,2.94687962532043
6,,09JUL2009:00:00:00,2.0,,,3.0,2.0,3.0,PT171,B71;E30;B71;23;62;A,5.3,CM,728.000000522286,Cambisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,2.56063890457153
7,,09JUL2009:00:00:00,2.0,,,3.0,2.0,3.0,PT171,D10;61;D10;PI(;D10;)PI;E30;D10;PI(;D10;)PI,5.3,CM,728.000000522286,Cambisol,consolidated-clastic-sedimentary rocks,psammite or arenite,5.06319808959961
8,,03JUN2009:00:00:00,2.0,,,2.0,2.0,2.0,PT150,D10;C10;PI(;D10;)PI;D10,5.7,LV,473.660000106692,Luvisol,metamorphic rocks,weakly metamorphic rocks,1.46044516563416
9,,28JUL2009:00:00:00,2.0,C1E,,3.0,2.0,2.0,PT16B,C10;F00;C10;D20;21;D20;21;D20;61;D20;D10;21;D10;21;C10,5.3,LV,616.92999856621,Luvisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,1.2809591293335
10,,15JUN2009:00:00:00,2.0,,,3.0,1.0,4.0,PT181,E20;A;E10;C10;61;C10;71;D10;32;D10;1;62;D10,5.3,PZ,501.589998844266,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,1.14576280117035
