point_id,ph_2015,ec_2015,oc_2015,caco3_2015,p_2015,n_2015,k_2015,elevation_2015,lc1_2015,lu1_2015,ph_2018,ec_2018,oc_2018,caco3_2018,p_2018,n_2018,k_2018,elevation_2018,lc1_2018,lu1_2018,bd_0_10,bd_10_20,survey_erosion_signs,ph_2009,oc_2009,caco3_2009,p_2009,n_2009,k_2009,elevation_2009,lc1_2009,lu1_2009
33883766,3.8,41.5,103.1,0.0,34.7,7.7,69.6,375.0,C21,U120,3.9,15.63,66.1,,15,4.6,99.8,327.0,C21,U120,,,0.0,3.92,285.3,0.0,1092.76,14.1,209.3,340.0,C20,U120
35363916,3.2,4.21,17.9,0.0,20.8,0.8,7.9,68.0,C22,U120,3.0,4.81,64,,13,2.6,44,10.0,C22,U120,,,0.0,3.01,205.7,0.0,278.45,6.1,246.0,8.0,C20,U361
33823392,3.9,43.0,96.3,0.0,31.6,7.8,93.5,243.0,D20,U420,4.5,89.06,102.1,,29.9,8.1,238.7,190.0,D20,U111,,,0.0,4.37,274.7,0.0,570.2,17.3,210.0,179.0,D20,U111
33983652,4.0,58.8,368.3,0.0,41.3,24.3,94.1,276.0,E20,U120,3.8,48.28,340.5,,51.3,28,128.5,226.0,E20,U120,,,0.0,3.58,405.0,1.0,1264.19,22.8,98.1,222.0,E10,U120
35383866,4.0,146.9,128.8,0.0,40.0,9.8,195.8,406.0,D20,U111,4.4,26.56,147.2,,17.8,9.3,240.2,350.0,D20,U111,,,0.0,4.6,288.7,0.0,780.83,14.8,530.6,346.0,E20,U111
33503744,3.6,28.9,244.7,0.0,37.2,12.2,201.7,175.0,D20,U111,4.1,12.91,68.7,,22.8,5.6,151.5,112.0,D20,U111,,,0.0,3.67,133.7,0.0,461.11,10.1,261.6,110.0,E20,U111
36983250,3.4,25.7,164.1,0.0,78.5,9.2,245.5,93.0,C10,U120,3.0,15.13,172.1,,32.2,9,176.8,52.0,C10,U120,,,0.0,2.85,329.1,0.0,482.48,15.0,665.2,59.0,C10,U120
35684018,4.7,158.8,363.8,0.0,56.6,24.2,394.4,85.0,E20,U111,4.2,166.26,413.1,,124.9,28.7,808.3,39.0,E20,U111,,,0.0,4.42,450.0,0.0,1299.44,27.3,592.5,36.0,E20,U111
35883612,4.7,53.2,122.4,0.0,166.2,7.1,504.7,80.0,C33,U120,5.5,20.8,151,,50.6,6.8,664.8,46.0,C33,U120,,,0.0,6.26,144.7,9.0,808.01,5.9,458.1,38.0,C30,U120
33863630,4.0,49.1,237.9,0.0,67.5,17.9,202.4,138.0,H12,U420,4.0,11.62,133,,35.8,9.6,127.1,79.0,E20,U420,,,0.0,3.34,466.3,1.0,1100.06,20.8,506.4,79.0,H12,U364
33443148,3.7,156.9,402.7,0.0,108.4,24.8,488.9,485.0,E20,U111,3.6,6.75,316.1,,66.2,17.5,292.4,434.0,D20,U111,,,0.0,3.49,283.1,1.0,790.46,15.2,409.1,425.0,E20,U111
36703270,7.3,34.6,18.6,14.0,41.7,2.5,233.6,133.0,B11,U111,7.3,19.86,19.2,38,21.3,2.4,223.6,91.0,B11,U111,,,0.0,7.13,21.7,39.0,747.91,2.3,259.1,92.0,B11,U111
36843280,7.1,17.4,10.2,4.0,45.5,1.3,111.7,114.0,B11,U111,6.4,19.55,10,,57.5,1.4,98,73.0,B22,U111,,,0.0,6.78,12.0,4.0,790.44,1.4,110.3,55.0,B11,U111
37083262,6.0,13.77,10.3,0.0,16.7,1.5,63.5,114.0,F40,U111,6.2,10.09,11.6,,20.5,1.3,117.5,64.0,B41,U111,,,0.0,7.23,18.4,24.0,584.87,1.8,264.8,73.0,B11,U111
37303262,7.2,21.5,13.6,13.0,20.8,1.6,100.0,72.0,F40,U111,7.4,17.5,14,5,17.5,1.7,143.1,28.0,B11,U111,,,0.0,7.42,16.7,23.0,838.85,1.9,196.4,43.0,B32,U111
