point_id,ph_2015,ec_2015,oc_2015,caco3_2015,p_2015,n_2015,k_2015,elevation_2015,lc1_2015,lu1_2015,ph_2018,ec_2018,oc_2018,caco3_2018,p_2018,n_2018,k_2018,elevation_2018,lc1_2018,lu1_2018,bd_0_10,bd_10_20,survey_erosion_signs,ph_2009,oc_2009,caco3_2009,p_2009,n_2009,k_2009,elevation_2009,lc1_2009,lu1_2009
34103754,3.9,44.2,25.5,0.0,42.9,2.8,24.6,158.0,H11,U420,4.1,30.9,25.6,,40.2,2.9,61.5,108.0,H11,U420,,,,,,,,,,,,
34443774,3.1,46.4,503.5,0.0,164.9,19.9,460.3,500.0,H12,U420,,,,,,,,,,,,,,,,,,,,,,
35163814,4.9,15.85,51.4,0.0,26.9,4.3,173.2,404.0,H11,U420,4.4,37.34,37.3,,18.7,3.6,126.6,352.0,E20,U111,,,,,,,,,,,,
32323656,3.0,26.9,470.3,0.0,102.8,16.1,313.0,364.0,H12,U150,2.9,18.88,413.5,,67.8,10.5,280.9,302.0,H12,U420,,,,,,,,,,,,
34463934,3.9,28.4,43.1,1.0,6.3,2.3,38.6,315.0,D20,U111,4.4,18.77,160.9,1,18.3,9.7,243.1,267.0,D20,U111,,,,,,,,,,,,
33983238,4.2,41.8,32.4,0.0,7.5,3.3,48.0,137.0,E20,U362,4.6,54.74,35.2,1,12.5,3.5,134.9,86.0,E20,U362,,,,,,,,,,,,
34043240,4.9,32.0,21.1,1.0,12.4,2.1,36.0,131.0,E20,U111,,,,,,,,,,,,,,,,,,,,,,
33723266,4.0,72.4,53.2,0.0,52.1,4.2,158.5,137.0,E20,U111,,,,,,,,,,,,,,,,,,,,,,
34203268,3.7,11.63,16.0,1.0,3.7,1.0,24.4,514.0,E20,U420,3.6,25.33,323.4,,49.7,21.3,252.9,454.0,E20,U420,,,,,,,,,,,,
33663268,4.0,22.2,16.0,1.0,8.3,1.1,30.0,232.0,D10,U420,3.8,10.88,46.5,1,< LOD,3.2,76.6,176.0,D10,U420,,,,,,,,,,,,
34123260,4.7,35.0,46.5,0.0,49.7,3.6,153.1,377.0,E20,U111,4.5,38.64,70.6,,73.9,5.3,208.9,314.0,E20,U111,,,,,,,,,,,,
33723292,4.6,81.1,40.3,0.0,75.5,5.2,96.2,152.0,E20,U111,,,,,,,,,,,,,,,,,,,,,,
34163274,3.0,44.0,506.0,0.0,84.1,20.5,197.2,570.0,D20,U420,3.1,12.18,466.1,,61,22.1,243.9,514.0,D20,U111,,,,,,,,,,,,
33523262,4.1,52.9,48.2,0.0,14.6,4.6,103.6,168.0,D20,U111,4.8,16.27,40,,< LOD,3.7,111.4,116.0,D10,U111,,,,,,,,,,,,
34743694,4.7,84.7,76.9,1.0,66.1,7.2,386.3,294.0,E20,U111,4.6,31.11,64.7,,21.8,5.7,123.8,238.0,E20,U111,,,,,,,,,,,,
34203250,3.3,27.9,52.3,1.0,22.4,4.3,57.3,441.0,E20,U111,3.4,12.27,120.7,,40.5,8.4,176.7,386.0,E20,U111,,,,,,,,,,,,
33683636,5.3,14.0,34.1,0.0,46.1,3.6,161.3,201.0,B13,U111,,,,,,,,,,,,,,,,,,,,,,
33983926,3.4,143.8,493.7,0.0,247.5,23.5,358.7,68.0,C10,U361,,,,,,,,,,,,,,,,,,,,,,
34983634,4.1,53.6,48.2,0.0,19.0,4.9,103.7,233.0,E20,U420,4.2,16.19,29.4,,< LOD,3.3,90.4,185.0,D20,U420,,,,,,,,,,,,
33203610,4.8,96.8,72.3,1.0,67.8,6.5,141.9,89.0,E10,U112,5.6,54.3,86,1,135.3,8.3,1030.4,35.0,C10,U111,,,,,,,,,,,,
33923826,3.5,48.0,107.2,1.0,26.1,6.4,67.3,141.0,C21,U120,,,,,,,,,,,,,,,,,,,,,,
33623332,6.3,41.7,38.8,1.0,82.7,4.1,388.2,259.0,E30,U112,,,,,,,,,,,,,,,,,,,,,,
34383316,5.2,42.1,29.8,1.0,18.0,3.5,59.9,300.0,E20,U111,,,,,,,,,,,,,,,,,,,,,,
33923340,3.1,74.0,494.7,0.0,120.9,20.3,297.0,598.0,E20,U420,3.8,76.06,309,,226.3,25.2,492.2,540.0,E20,U420,,,,,,,,,,,,
34083328,4.3,48.4,45.2,1.0,9.0,5.1,54.0,441.0,E20,U111,,,,,,,,,,,,,,,,,,,,,,
34543252,6.5,39.8,30.4,3.0,71.8,3.4,176.6,146.0,E20,U111,,,,,,,,,,,,,,,,,,,,,,
